WinningHand,NumWinners,FavouredHand,UnfavouredHand,FavouredHandClass,UnfavouredHandClass,FavouredWon,P(FavouredWins),P(FavouredLoses),P(Tie),P(ThisOutcome),Sum(Ps),AllHands,
6c Kc,1, 8d As,6c Kc,A8,K6 s,0,0.589699025407,0.406442430783,0.003858543810,0.406442430783,1.000000000000,6c Kc, 8d As
Qd Jd,1, 6d Ac,Qd Jd,A6,QJ s,0,0.525368158925,0.469821363496,0.004810477579,0.469821363496,1.000000000000,Qd Jd, 6d Ac
9s Jc,1, Js Ts,9s Jc,JT s,J9,0,0.675078140330,0.219566151805,0.105355707865,0.219566151805,1.000000000000,Js Ts, 9s Jc
As Ad,1, As Ad,9c Kh,AA,K9,1,0.859517352059,0.137580709967,0.002901937974,0.859517352059,1.000000000000,As Ad, 9c Kh
Draw,2, Js As,Ah Jc,AJ s,AJ,0,0.071574907259,0.021732122333,0.906692970407,0.906692970407,1.000000000000,Js As, Ah Jc
Tc Qs,1, Jd Jc,Tc Qs,JJ,QT,0,0.709991333315,0.286087633972,0.003921032714,0.286087633972,1.000000000000,Jd Jc, Tc Qs
Ks Ad,1, Ks Ad,8h,AK,87s,1,0.579116208337,0.417115185154,0.003768606509,0.579116208337,1.000000000000,Ks Ad,8h
3d 3c,1, 3d 3c,Th Qs,33,QT,1,0.500710154272,0.490229538680,0.009060307048,0.500710154272,1.000000000000,Th Qs, 3d 3c
5h 0m 5s,1,5h 0m 5s,8s Ad,55,A8,1,0.550312911726,0.445269648380,0.004417439894,0.550312911726,1.000000000000,5h 0m 5s, 8s Ad
4c 4d,1, 4c 4d,7c Kc,44,K7 s,1,0.515339565871,0.477463114026,0.007197320102,0.515339565871,1.000000000000,7c Kc, 4c 4d
Draw,2, 9c Kc,5h Kh,K9 s,K5 s,0,0.598931030938,0.265702819126,0.135366149936,0.135366149936,1.000000000000,9c Kc, 5h Kh
5c 5d,1, 5c 5d,3s Ad,55,A3,1,0.694148936170,0.300416865230,0.005434198600,0.694148936170,1.000000000000,5c 5d, 3s Ad
Ad Tc,1, Ad Tc,3s,AT,43s,1,0.597626940076,0.397613975089,0.004759084835,0.597626940076,1.000000000000,Ad Tc,3s
4c Ac,1, 9c 9h,4c Ac,99,A4 s,0,0.666180771639,0.329096352050,0.004722876312,0.329096352050,1.000000000000,9c 9h, 4c Ac
8d Kh,1, 8d Kh,5c Qh,K8,Q5,1,0.629690171839,0.363423784562,0.006886043600,0.629690171839,1.000000000000,8d Kh, 5c Qh
Ks As,1, Qs Qc,Ks As,QQ,AK s,0,0.538805609284,0.456457498201,0.004736892514,0.456457498201,1.000000000000,Qs Qc, Ks As
Td Ts,1, Td Ts,3h Qs,TT,Q3,1,0.720313682617,0.275192372382,0.004493945000,0.720313682617,1.000000000000,Td Ts, 3h Qs
6d Jh,1, 2s Kc,6d Jh,K2,J6,0,0.584616399892,0.408735247947,0.006648352162,0.408735247947,1.000000000000,6d Jh, 2s Kc
Qh Jd,1, Qh Jd,Jh Td,QJ,JT,1,0.723431703716,0.237216055093,0.039352241191,0.723431703716,1.000000000000,Qh Jd, Jh Td
8d Kd,1, As Jc,8d Kd,AJ,K8 s,0,0.604597080892,0.391341140358,0.004061778750,0.391341140358,1.000000000000,As Jc, 8d Kd
3d 3h,1,3d 3h,Kh 9d,33,K9,1,0.516092936768,0.475871691008,0.008035372224,0.516092936768,1.000000000000,Kh 9d,3d 3h
Ks Ad,1, Ks Ad,4c Tc,AK,T4 s,1,0.624626234594,0.370953989479,0.004419775928,0.624626234594,1.000000000000,Ks Ad, 4c Tc
9d Qd,1, Ah 9h,9d Qd,A9 s,Q9 s,0,0.687848653043,0.293285538082,0.018865808875,0.293285538082,1.000000000000,Ah 9h, 9d Qd
Ad As,1, Ad As,Tc Th,AA,TT,1,0.799348713780,0.197677515208,0.002973771013,0.799348713780,1.000000000000,Ad As, Tc Th
Qc Td,1, Kd Js,Qc Td,KJ,QT,0,0.625037960549,0.368127388595,0.006834650856,0.368127388595,1.000000000000,Kd Js, Qc Td
Jd 7s,1, Ts As,Jd 7s,AT s,J7,0,0.651641881348,0.343722843607,0.004635275045,0.343722843607,1.000000000000,Ts As, Jd 7s
9s Ad,1, 9s Ad,Ts 6s,A9,T6 s,1,0.585439851802,0.409919617077,0.004640531121,0.585439851802,1.000000000000,9s Ad, Ts 6s
8c 8h,1, 8c 8h,Ac Ts,88,AT,1,0.552465566862,0.443963805492,0.003570627646,0.552465566862,1.000000000000,8c 8h, Ac Ts
7c Qs,1, 8c Ad,7c Qs,A8,Q7,0,0.640892621871,0.355221385922,0.003885992207,0.355221385922,1.000000000000,8c Ad, 7c Qs
Draw,2, Kc Qd,Ks Qc,KQ,KQ,0,0.018237415786,0.010891173530,0.970871410684,0.970871410684,1.000000000000,Ks Qc, Kc Qd
6h 0m 6s,1,6h 0m 6s,Qs Jh,66,QJ,1,0.511170329568,0.482812047393,0.006017623039,0.511170329568,1.000000000000,6h 0m 6s, Qs Jh
Kc Kh,1, Kc Kh,Qs Ac,KK,AQ,1,0.712106027902,0.283673343051,0.004220629047,0.712106027902,1.000000000000,Kc Kh, Qs Ac
Qd Qh,1, Qd Qh,3h Jh,QQ,J3 s,1,0.844296923911,0.150935231127,0.004767844962,0.844296923911,1.000000000000,Qd Qh, 3h Jh
Draw,2, Kd Kh,Qh Ah,KK,AQ s,0,0.681927391398,0.313335132079,0.004737476523,0.004737476523,1.000000000000,Kd Kh, Qh Ah
Qs As,1, Qs As,Jh Ac,AQ s,AJ,1,0.723214452574,0.221887585382,0.054897962044,0.723214452574,1.000000000000,Qs As, Jh Ac
Kh 7c,1, Kh 7c,5h,K7,75s,1,0.660319078855,0.301145707772,0.038535213373,0.660319078855,1.000000000000,5h, Kh 7c
9s 9c,1, 9s 9c,Ah Kc,99,AK,1,0.550759094180,0.445329801250,0.003911104570,0.550759094180,1.000000000000,Ah Kc, 9s 9c
Ac Js,1, Qs Qc,Ac Js,QQ,AJ,0,0.715875802428,0.279332992272,0.004791205300,0.279332992272,1.000000000000,Qs Qc, Ac Js
Kc Kd,1, Kc Kd,Qs Qh,KK,QQ,1,0.810524299423,0.185630588961,0.003845111616,0.810524299423,1.000000000000,Kc Kd, Qs Qh
Kh 9d,1, As 7c,Kh 9d,A7,K9,0,0.590606574533,0.406190139134,0.003203286332,0.406190139134,1.000000000000,Kh 9d, As 7c
Kc Td,1, As 6d,Kc Td,A6,KT,0,0.565583564601,0.430302095890,0.004114339510,0.430302095890,1.000000000000,Kc Td, As 6d
Th 7s,1, Qd Kd,Th 7s,KQ s,T7,0,0.676683579551,0.317197763948,0.006118656500,0.317197763948,1.000000000000,Qd Kd, Th 7s
9d Qs,1, 9d Qs,2d,Q9,52s,1,0.621059110999,0.368839294892,0.010101594109,0.621059110999,1.000000000000,9d Qs,2d
7d As,1, 7d As,8s Kh,A7,K8,1,0.607295199918,0.388806543698,0.003898256384,0.607295199918,1.000000000000,7d As, 8s Kh
Ks Jh,1, Ks Jh,Th 8h,KJ,T8 s,1,0.620913108887,0.372072365655,0.007014525458,0.620913108887,1.000000000000,Ks Jh, Th 8h
